explain,org,service
특정 정류소에 대한 버스 도착예정 정보 제공,서울특별시,버스도착정보조회 서비스
실시간 버스위치 정보 제공,서울특별시,버스위치정보조회 서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
공항별 여객 항공기 출발 조회일로부터 +6일간 운항정보 현황조회 공항별 여객 항공기 도착 조회일로부터 +6일간 운항정보 현황조회,인천국제공항공사,[인천공항]여객편 주간 운항현황
인천공항 여객 항공기 출발 / 도착 정보 현황조회(다국어),인천국제공항공사,[인천공항] 여객편 운항현황 (다국어)
인천공항 화물 항공기 출발 / 도착 정보 현황조회(다국어),인천국제공항공사,[인천공항] 화물편 운항현황 (다국어)
"한국공항공사에서 제공하는 항공코드정보,국내선 운항스케줄,국제선 운항스케줄, 실시간 운항정보",한국공항공사,항공기 운항정보
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"정류소ID, 노선ID, ARSNO 등을 기준으로 정류소정보, 노선정보, 노선경로정보, 도착예정정보를 조회하는 부산버스정보시스템 조회서비스.",부산광역시,부산버스정보시스템
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.",한국관광공사,중문 간체 관광정보 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)",국토교통부,아파트매매 실거래 상세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
