도로명주소조회서비스,우정사업본부에서는 도로명주소 체계로 변경되는 새우편번호(2015.8.1 시행) 및 기존 우편번호 정보를 조회하는 기능의 오픈API 서비스를 제공합니다.,2015-03-09,2016-06-29,우정사업정보센터 인터넷우체국팀,061-0338-2227,['새우편번호 도로명주소 조회']
동네예보정보조회서비스,"실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",2015-12-01,2018-01-25,정보통신기술과,,"['초단기실황조회', '초단기예보조회', '동네예보조회', '예보버전조회']"
상가(상권)정보,소상공인 상권정보 상가업소 데이터,2015-12-22,2017-10-17,정보화전략실,042-363-7147,"['지정 상권조회', '반경내 상권조회', '사각형내 상권조회', '행정구역 단위 상권조회', '단일 상가업소 조회', '건물 단위 상가업소 조회', '지번 단위 상가업소 조회', '행정동 단위 상가업소 조회', '상권내 상가업소 조회', '반경내 상가업소 조회', '사각형내 상가업소 조회', '다각형내 상가업소 조회', '업종별 상가업소 조회', '수정일자기준 상가업소 조회', '상가업소정보 변경요청', '상권정보 업종 대분류 조회', '상권정보 업종 중분류 조회', '상권정보 업종 소분류 조회', '바로API']"
국내 관광정보 서비스,"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",2013-03-04,2017-09-28,ICT전략팀,033-738-3874,"['지역코드조회', '서비스분류코드조회', '키워드조회', '행사정보조회', '코스정보조회', '숙박정보조회', '지역기반 관광정보조회', '위치기반 관광정보조회', '소개정보조회', '반복정보조회', '이미지정보조회', '공통정보조회']"
승하차인원 통계,1~4호선(서울메트로)승하차인원 통계 데이터입니다.,2014-12-19,2018-01-08,IT기획처,02-6311-9343,[]
지번주소조회 서비스,우정사업본부에서는 현재 운영되고 있는 지번주소체계의 새우편번호(2015.8.1 시행) 및 기존우편번호를 조회하는 기능을 제공합니다.,2015-03-16,2017-10-31,우정사업정보센터 인터넷우체국팀,061-0338-2227,"['상세검색', '복합검색', '지번 조회', '광역시/도', '시/군/구', '읍/면/동 조회']"
국토교통부_버스위치정보,"전국 및 지방자치단체 시내버스의 실시간 위치정보를 버스 노선별, 노선 정류소별로 조회한다.
시내버스 정류장정보, 노선정보, 도착예정정보, 노선운행정보, 위치정보 테이블에 실시간 정보로 제공된다.",2013-12-09,2018-01-16,신교통개발과,044-201-3822,"['노선별버스위치목록조회', '노선별특정정류소접근버스위치정보조회', '도시코드 목록 조회']"
한국환경공단_대기오염정보 조회 서비스,"각 측정소별 대기오염정보를 조회하기 위한 서비스로 기간별, 시도별 대기오염 정보와 통합대기환경지수 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 조회할 수 있다.",2016-08-08,2018-01-16,대기측정망팀,032-590-3506,"['측정소별 실시간 측정정보 조회', '통합대기환경지수 나쁨 이상 측정소 목록조회', '시도별 실시간 측정정보 조회', '대기질 예보통보 조회', '시도별 실시간 평균정보 조회', '시군구별 실시간 평균정보 조회']"
수산물 수출입정보,"수산물 수출입정보는 국내에 수출 및 수입되는 수산물에 대한 월별 품목별 통계정보로 관세청에서 보유한 데이터를 집계하여 제공하는 데이터로 품목별,국가별 수출입정보를 제공하는 목록입니다.",2016-01-04,2018-03-29,소득복지과,044-200-5470,['국가별 수산물 수출입 현황 조회']
중기예보정보조회서비스,"중기예보정보는 기상전망, 육상예보, 기온, 해상예보 정보를 조회하는 서비스입니다.",2015-12-21,2017-11-08,정보통신기술과,,"['중기육상예보조회', '중기기온조회', '중기해상예보조회', '중기전망조회', '중기육상신뢰도조회']"
