,start,end,title,service_category,start_org,end_org
0,버스도착정보조회 서비스,버스위치정보조회 서비스,서울버스,교통물류,서울특별시,서울특별시
1,대기오염정보 조회 서비스,(신)동네예보정보조회서비스,오늘미세,환경기상,한국환경공단,기상청
2,아파트매매 실거래자료,연립다세대 매매 실거래자료,집통,국토관리,국토교통부,국토교통부
3,아파트매매 실거래자료,단독/다가구 매매 실거래 자료,집통,국토관리,국토교통부,국토교통부
4,연립다세대 매매 실거래자료,단독/다가구 매매 실거래 자료,집통,국토관리,국토교통부,국토교통부
5,[인천공항]여객편 주간 운항현황,[인천공항] 여객편 운항현황 (다국어),한국공항 출도착,교통물류,인천국제공항공사,인천국제공항공사
6,[인천공항]여객편 주간 운항현황,[인천공항] 화물편 운항현황 (다국어),한국공항 출도착,교통물류,인천국제공항공사,인천국제공항공사
7,[인천공항]여객편 주간 운항현황,항공기 운항정보,한국공항 출도착,교통물류,인천국제공항공사,한국공항공사
8,[인천공항] 여객편 운항현황 (다국어),[인천공항] 화물편 운항현황 (다국어),한국공항 출도착,교통물류,인천국제공항공사,인천국제공항공사
9,[인천공항] 여객편 운항현황 (다국어),항공기 운항정보,한국공항 출도착,교통물류,인천국제공항공사,한국공항공사
10,[인천공항] 화물편 운항현황 (다국어),항공기 운항정보,한국공항 출도착,교통물류,인천국제공항공사,한국공항공사
11,대기오염정보 조회 서비스,측정소정보 조회 서비스,미세빅,환경기상,한국환경공단,한국환경공단
12,아파트매매 실거래 상세 자료,아파트 전월세 자료,집값어때,국토관리,국토교통부,국토교통부
13,아파트매매 실거래 상세 자료,연립다세대 매매 실거래자료,집값어때,국토관리,국토교통부,국토교통부
14,아파트매매 실거래 상세 자료,연립다세대 전월세 자료,집값어때,국토관리,국토교통부,국토교통부
15,아파트 전월세 자료,연립다세대 매매 실거래자료,집값어때,국토관리,국토교통부,국토교통부
16,아파트 전월세 자료,연립다세대 전월세 자료,집값어때,국토관리,국토교통부,국토교통부
17,연립다세대 매매 실거래자료,연립다세대 전월세 자료,집값어때,국토관리,국토교통부,국토교통부
18,경주마조회서비스,경주성적표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
