,category,dev,dev_category,dev_loc,explain,org,purpose,regis_day,service,service_category,service_start,title
0,모바일앱 ( 안드로이드 ),Dokon Jang,기타,부산광역시,"['특정 정류소에 대한 버스 도착예정 정보 제공', '실시간 버스위치 정보 제공']","['서울특별시', '서울특별시']",서울특별시의 공공데이터를 활용하여 교통정보를 제공합니다.,2018-06-05,"['버스도착정보조회 서비스', '버스위치정보조회 서비스']",분류 : 교통물류,2018-05-18,서울버스
1,모바일앱 ( 안드로이드 ),WizardFactory,중소기업 및 종사자,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스', '초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.']","['한국환경공단', '기상청']","한국환경공단, 기상청의 공공데이터를 활용하여 기상정보를 제공합니다.",2018-06-04,"['대기오염정보 조회 서비스', '(신)동네예보정보조회서비스']",분류 : 환경기상,2018-05-19,오늘미세
2,모바일앱 ( 안드로이드 ),TomatoSolution,중소기업 및 종사자,서울특별시,"['부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스', '부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스', '부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스']","['국토교통부', '국토교통부', '국토교통부']",국토교통부의 공공데이터를 활용하여 실거래가 정보를 제공합니다.,2018-06-04,"['아파트매매 실거래자료', '연립다세대 매매 실거래자료', '단독/다가구 매매 실거래 자료']",분류 : 국토관리,2017-11-22,집통
3,모바일앱 ( 안드로이드 ),GOBaby,기타,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.']",['한국관광공사'],한국관광공사의 공공데이터를 활용하여 여행 정보를 제공합니다.,2018-06-04,['국문 관광정보 서비스'],분류 : 문화관광,2018-05-14,배틀트립
4,모바일앱 ( 안드로이드 ),Shock Utility,기타,서울특별시,"['공항별 여객 항공기 출발 조회일로부터 +6일간 운항정보 현황조회 공항별 여객 항공기 도착 조회일로부터 +6일간 운항정보 현황조회', '인천공항 여객 항공기 출발 / 도착 정보 현황조회(다국어)', '인천공항 화물 항공기 출발 / 도착 정보 현황조회(다국어)', '한국공항공사에서 제공하는 항공코드정보,국내선 운항스케줄,국제선 운항스케줄, 실시간 운항정보']","['인천국제공항공사', '인천국제공항공사', '인천국제공항공사', '한국공항공사']","인천국제공항공사, 한국공항공사의 공공데이터를 활용하여 공항정보를 제공합니다.",2018-05-31,"['[인천공항]여객편 주간 운항현황', '[인천공항] 여객편 운항현황 (다국어)', '[인천공항] 화물편 운항현황 (다국어)', '항공기 운항정보']",분류 : 교통물류,2018-05-18,한국공항 출도착
5,모바일앱 ( 안드로이드 ),Herbert Lim,기타,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스', 'TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스']","['한국환경공단', '한국환경공단']",한국환경공단의 공공데이터를 활용하여 미세먼지 정보를 제공합니다.,2018-05-31,"['대기오염정보 조회 서비스', '측정소정보 조회 서비스']",분류 : 환경기상,2018-05-04,미세빅
6,모바일앱 ( 안드로이드 ),airplanez,기타,경기도,"['정류소ID, 노선ID, ARSNO 등을 기준으로 정류소정보, 노선정보, 노선경로정보, 도착예정정보를 조회하는 부산버스정보시스템 조회서비스.']",['부산광역시'],부산광역시의 공공데이터를 활용하여 교통정보를 제공합니다.,2018-05-31,['부산버스정보시스템'],분류 : 교통물류,2018-03-02,버스도착-부산
7,모바일앱 ( 안드로이드 ),nsyang,기타,서울특별시,['동물보호관리시스템의 유기동물 정보를 조회할 수 있다.'],['농림축산식품부 농림축산검역본부'],농림축산식품부의 공공데이터를 활용하여 유기동물 정보를 제공합니다.,2018-05-31,['동물보호관리시스템 유기동물 조회 서비스'],분류 : 농축수산,2015-05-14,유기동물조회
8,모바일앱 ( 안드로이드 ),SEEHAA,기타,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.']",['한국관광공사'],한국관광공사의 공공데이터를 활용하여 관광지 정보를 제공합니다.,2018-05-31,['중문 간체 관광정보 서비스'],분류 : 문화관광,2018-04-30,KODOC
9,모바일앱 ( 안드로이드 ),STIsland,중소기업 및 종사자,서울특별시,"['부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)', '부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스', '부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스', '부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스']","['국토교통부', '국토교통부', '국토교통부', '국토교통부']",국토교통부의 공공데이터를 활용하여 아파트 및 연립다세대 실거래 정보를 제공합니다.,2018-05-29,"['아파트매매 실거래 상세 자료', '아파트 전월세 자료', '연립다세대 매매 실거래자료', '연립다세대 전월세 자료']",분류 : 국토관리,2018-05-25,집값어때
