ID,1층,금액차이,Number of Records,X,Y,거래금액(만원),건축년도,계약년월,계약일,구 (국민은행시세정보!),구,단지명,도로명,동 (국민은행시세정보!),동,번지,변동액,본번,부번,국민은행시세,아파트,일반거래가,입력주소,전용면적 (국민은행시세정보!),전용면적,주택형,중간층,층,평형,하한가
1,39000,-5000,1,316639,542026,107500,1987-01-01,201804,1~10,강남구,강남구,개포6차우성아파트1동~8동,언주로,개포동,개포동,658-1,0,658,1,102500,개포6차우성아파트1동~8동,100500, 강남구 개포동 개포6차우성아파트1동~8동,55,55,62.81,40200,5,19,97500
2,60000,-1000,1,318576,544166,171000,2004-01-01,201804,11~20,강남구,강남구,개포자이(12-2),개포로109길,개포동,개포동,2-12월,0,12,2,170000,개포자이(12-2),160000, 강남구 개포동 개포자이(12-2),168,168,201.65,64000,5,61,150000
3,28200,0,1,318411,543900,76500,1992-01-01,201804,1~10,강남구,강남구,성원대치2단지아파트,개포로109길,개포동,개포동,12,0,12,0,76500,성원대치2단지아파트,73000, 강남구 개포동 성원대치2단지아파트,33,33,46.28,29200,10,14,70500
4,32200,-1000,1,318411,543900,88000,1992-01-01,201804,11~20,강남구,강남구,성원대치2단지아파트,개포로109길,개포동,개포동,12,0,12,0,87000,성원대치2단지아파트,83000, 강남구 개포동 성원대치2단지아파트,40,40,56.19,33200,6,17,80500
5,36200,-2500,1,318411,543900,99500,1992-01-01,201804,11~20,강남구,강남구,성원대치2단지아파트,개포로109길,개포동,개포동,12,0,12,0,97000,성원대치2단지아파트,93000, 강남구 개포동 성원대치2단지아파트,50,50,69.42,37200,14,21,90500
6,36200,-4400,1,318411,543900,101400,1992-01-01,201804,11~20,강남구,강남구,성원대치2단지아파트,개포로109길,개포동,개포동,12,0,12,0,97000,성원대치2단지아파트,93000, 강남구 개포동 성원대치2단지아파트,50,50,69.42,37200,11,21,90500
7,81000,9500,1,317291,542434,203000,1984-01-01,201804,1~10,강남구,강남구,현대1차101동~106동,개포로,개포동,개포동,653,0,653,0,212500,현대1차101동~106동,207500, 강남구 개포동 현대1차101동~106동,177,177,191.73,83000,9,58,202500
8,15400,-1000,1,314598,546168,42000,2004-01-01,201804,11~20,강남구,강남구,마일스디오빌,학동로,논현동,논현동,2월-58,0,58,2,41000,마일스디오빌,40000, 강남구 논현동 마일스디오빌,36,36,46.28,16000,15,14,38500
9,29400,3500,1,315171,546817,81000,1996-01-01,201804,1~10,강남구,강남구,쌍용,도산대로50길,논현동,논현동,103,0,103,0,84500,쌍용,80000, 강남구 논현동 쌍용,85,85,122.31,32000,3,37,73500
10,59600,3000,1,317120,544256,162000,2000-01-01,201804,1~10,강남구,강남구,대치삼성,도곡로78길,대치동,대치동,1014-3,0,1014,3,165000,대치삼성,157500, 강남구 대치동 대치삼성,85,85,105.78,63000,9,32,149000
11,93000,-30000,1,316585,543980,290000,2008-01-01,201804,11~20,강남구,강남구,대치아이파크,선릉로,대치동,대치동,888,0,888,0,260000,대치아이파크,245000, 강남구 대치동 대치아이파크,150,150,179.41,98000,24,54,232500
12,77000,-21000,1,317568,544781,228500,2015-01-01,201804,1~10,강남구,강남구,래미안대치팰리스,삼성로51길,대치동,대치동,1027,0,1027,0,207500,래미안대치팰리스,200000, 강남구 대치동 래미안대치팰리스,85,85,118.76,80000,17,36,192500
13,90000,4000,1,317568,544781,228500,2015-01-01,201804,1~10,강남구,강남구,래미안대치팰리스,삼성로51길,대치동,대치동,1027,0,1027,0,232500,래미안대치팰리스,228500, 강남구 대치동 래미안대치팰리스,85,85,113.31,91400,17,34,225000
14,12000,-500,1,316576,545254,34500,2004-01-01,201804,11~20,강남구,강남구,테헤란로대우아이빌(891-6),테헤란로,대치동,대치동,891-6,0,891,6,34000,테헤란로대우아이빌(891-6),32500, 강남구 대치동 테헤란로대우아이빌(891-6),33,33,42.97,13000,23,13,30000
15,10800,-1500,1,316576,545254,31000,2004-01-01,201804,21~30,강남구,강남구,테헤란로대우아이빌(891-6),테헤란로,대치동,대치동,891-6,0,891,6,29500,테헤란로대우아이빌(891-6),28500, 강남구 대치동 테헤란로대우아이빌(891-6),30,30,39.66,11400,4,12,27000
16,75000,19500,1,317736,543686,180000,1983-01-01,201804,1~10,강남구,강남구,한보미도맨션1,삼성로,대치동,대치동,511,0,511,0,199500,한보미도맨션1,192000, 강남구 대치동 한보미도맨션1,84,84,112.39,76800,1,34,187500
17,66000,7500,1,315279,543116,170000,2002-01-01,201804,1~10,강남구,강남구,대림아크로빌,언주로30길,도곡동,도곡동,467-6,0,467,6,177500,대림아크로빌,172500, 강남구 도곡동 대림아크로빌,177,177,244.62,69000,3,74,165000
18,65000,1500,1,315769,543372,175000,2006-01-01,201804,11~20,강남구,강남구,도곡렉슬,선릉로,도곡동,도곡동,527,0,527,0,176500,도곡렉슬,168500, 강남구 도곡동 도곡렉슬,85,85,109.09,67400,20,33,162500
19,65000,1500,1,315769,543372,175000,2006-01-01,201804,11~20,강남구,강남구,도곡렉슬,선릉로,도곡동,도곡동,527,0,527,0,176500,도곡렉슬,168500, 강남구 도곡동 도곡렉슬,85,85,109.09,67400,20,33,162500
20,66600,5000,1,315769,543372,175000,2006-01-01,201804,11~20,강남구,강남구,도곡렉슬,선릉로,도곡동,도곡동,527,0,527,0,180000,도곡렉슬,173500, 강남구 도곡동 도곡렉슬,85,85,109.09,69400,20,33,166500
21,67600,7500,1,315769,543372,175000,2006-01-01,201804,11~20,강남구,강남구,도곡렉슬,선릉로,도곡동,도곡동,527,0,527,0,182500,도곡렉슬,174000, 강남구 도곡동 도곡렉슬,85,85,109.09,69600,20,33,169000
22,94000,-17500,1,316435,543196,270000,2002-01-01,201804,1~10,강남구,강남구,타워팰리스1,언주로30길,도곡동,도곡동,467,0,467,0,252500,타워팰리스1,242500, 강남구 도곡동 타워팰리스1,165,165,224.79,97000,52,68,235000
23,81000,-40000,1,316435,543196,270000,2002-01-01,201804,1~10,강남구,강남구,타워팰리스1,언주로30길,도곡동,도곡동,467,0,467,0,230000,타워팰리스1,212500, 강남구 도곡동 타워팰리스1,165,165,224.79,85000,52,68,202500
24,75000,-8000,1,316435,543196,223000,2003-01-01,201804,11~20,강남구,강남구,타워팰리스2,언주로30길,도곡동,도곡동,467-17,0,467,17,215000,타워팰리스2,205000, 강남구 도곡동 타워팰리스2,165,165,224.79,82000,10,68,187500
25,74000,-13000,1,316435,543196,223000,2003-01-01,201804,11~20,강남구,강남구,타워팰리스2,언주로30길,도곡동,도곡동,467-17,0,467,17,210000,타워팰리스2,195000, 강남구 도곡동 타워팰리스2,165,165,224.79,78000,10,68,185000
26,79000,-8000,1,316142,546473,218000,2008-01-01,201804,21~30,강남구,강남구,삼성동힐스테이트 1단지,학동로68길,삼성동,삼성동,16-2월,0,16,2,210000,삼성동힐스테이트 1단지,205000, 강남구 삼성동 삼성동힐스테이트 1단지,114,114,142.14,82000,23,43,197500
