계약년월,구,동,아파트_mean_건축년도,아파트_median_실거래
2011-01-01,강남구,개포동,1985.081395349,72000
2011-01-01,강남구,논현동,1997.677419355,60000
2011-01-01,강남구,대치동,1989.452054795,96500
2011-01-01,강남구,도곡동,1997.061538462,76000
2011-01-01,강남구,삼성동,1998.166666667,66500
2011-01-01,강남구,수서동,1993.375,38850
2011-01-01,강남구,신사동,2003.5,44900
2011-01-01,강남구,압구정동,1980.558823529,144500
2011-01-01,강남구,역삼동,2003.225806452,67800
2011-01-01,강남구,일원동,1990.633333333,77100
2011-01-01,강남구,청담동,1996.571428571,79200
2011-01-01,강동구,강일동,2009.5,36974
2011-01-01,강동구,고덕동,1986.322580645,51500
2011-01-01,강동구,길동,1996.459459459,31000
2011-01-01,강동구,둔촌동,1987.683333333,64750
2011-01-01,강동구,명일동,1989.222222222,42000
2011-01-01,강동구,상일동,1985.421052632,56800
2011-01-01,강동구,성내동,2001.15625,34900
2011-01-01,강동구,암사동,2002.938271605,46850
2011-01-01,강동구,천호동,1999.678571429,30050
2011-01-01,강북구,미아동,2004.512820513,34350
2011-01-01,강북구,번동,1997.275862069,26900
2011-01-01,강북구,수유동,2000.25,25250
2011-01-01,강북구,우이동,2002.333333333,26000
2011-01-01,강서구,가양동,1994.527272727,27000
2011-01-01,강서구,공항동,2008.64,30300
2011-01-01,강서구,내발산동,2005.166666667,43450
2011-01-01,강서구,등촌동,1996.730769231,29500
2011-01-01,강서구,마곡동,1993,40000
2011-01-01,강서구,방화동,2001.428571429,34050
2011-01-01,강서구,염창동,2002.3375,42550
2011-01-01,강서구,화곡동,2002.4875,33500
2011-01-01,관악구,남현동,2005,38600
2011-01-01,관악구,봉천동,2001.690322581,35000
2011-01-01,관악구,신림동,1998.939759036,31200
2011-01-01,광진구,광장동,1996.857142857,57800
2011-01-01,광진구,구의동,1998.705882353,51000
2011-01-01,광진구,군자동,2005.6,71000
2011-01-01,광진구,자양동,1998.830188679,54000
2011-01-01,광진구,중곡동,1993.142857143,25000
2011-01-01,광진구,화양동,2001.333333333,35250
2011-01-01,구로구,개봉동,2000.595238095,32500
2011-01-01,구로구,고척동,1999.029411765,26650
2011-01-01,구로구,구로동,1997.780821918,28075
2011-01-01,구로구,궁동,2007.5,34500
2011-01-01,구로구,신도림동,1999.5,40525
2011-01-01,구로구,오류동,2002,29500
2011-01-01,구로구,온수동,2008.5,30140
2011-01-01,구로구,항동,2004,35000
2011-01-01,금천구,가산동,1998.9,29350
2011-01-01,금천구,독산동,1996.413793103,25900
2011-01-01,금천구,시흥동,1998.796610169,27800
2011-01-01,노원구,공릉동,1998.3125,25500
2011-01-01,노원구,상계동,1991.527426160,25000
2011-01-01,노원구,월계동,1995.959595960,25950
2011-01-01,노원구,중계동,1993.531791908,28000
2011-01-01,노원구,하계동,1990.681159420,26000
2011-01-01,도봉구,도봉동,1997.358974359,29200
2011-01-01,도봉구,방학동,1992.185185185,24550
2011-01-01,도봉구,쌍문동,1991.371428571,23200
2011-01-01,도봉구,창동,1995.205479452,28150
2011-01-01,동대문구,답십리동,2000.15625,32250
2011-01-01,동대문구,용두동,1999.625,26325
2011-01-01,동대문구,이문동,2001.527777778,33000
2011-01-01,동대문구,장안동,2005.16,38150
2011-01-01,동대문구,전농동,1997.756097561,35000
2011-01-01,동대문구,제기동,2001.933333333,39000
2011-01-01,동대문구,청량리동,1994.375,37500
2011-01-01,동대문구,회기동,1991.333333333,33750
2011-01-01,동대문구,휘경동,2001.12,27500
2011-01-01,동작구,노량진동,2000.75,44825
2011-01-01,동작구,대방동,1996.885714286,44700
2011-01-01,동작구,동작동,2004.5,50225
2011-01-01,동작구,본동,2002.538461538,53000
2011-01-01,동작구,사당동,1995.640625,44250
2011-01-01,동작구,상도동,2004.074626866,46900
2011-01-01,동작구,신대방동,1999.775,45350
2011-01-01,동작구,흑석동,1990.727272727,59000
2011-01-01,마포구,공덕동,2002.475,50675
2011-01-01,마포구,노고산동,2003.25,21650
2011-01-01,마포구,대흥동,2001.076923077,53000
2011-01-01,마포구,도화동,1997.352941176,51000
2011-01-01,마포구,마포동,1992,38000
2011-01-01,마포구,망원동,2004.214285714,37500
2011-01-01,마포구,상암동,2007.6,45278
2011-01-01,마포구,서교동,2001.8,26500
2011-01-01,마포구,성산동,1992.695652174,38000
2011-01-01,마포구,신공덕동,2002.76,43100
2011-01-01,마포구,신수동,2002.5,45650
2011-01-01,마포구,신정동,1999,68500
2011-01-01,마포구,아현동,1998.625,27500
2011-01-01,마포구,연남동,1997.230769231,37400
2011-01-01,마포구,염리동,2000.944444444,35000
2011-01-01,마포구,용강동,2003,45100
2011-01-01,마포구,중동,2001.727272727,38500
2011-01-01,마포구,창전동,2004.764705882,49000
2011-01-01,마포구,토정동,1997,40800
2011-01-01,마포구,합정동,1975,23000
2011-01-01,마포구,현석동,1999,53950
2011-01-01,서대문구,남가좌동,2001.076923077,39000
2011-01-01,서대문구,대현동,1999,31000
2011-01-01,서대문구,북가좌동,2005,38700
2011-01-01,서대문구,북아현동,1999.583333333,29650
2011-01-01,서대문구,연희동,2001.944444444,31800
2011-01-01,서대문구,영천동,1995,39750
2011-01-01,서대문구,천연동,2006,31500
2011-01-01,서대문구,충정로3가,2007.428571429,35500
2011-01-01,서대문구,합동,2008,63000
2011-01-01,서대문구,현저동,1998.25,42450
2011-01-01,서대문구,홍은동,1996,25200
2011-01-01,서대문구,홍제동,1997.244897959,34000
2011-01-01,서초구,반포동,1990.225352113,85000
2011-01-01,서초구,방배동,1998.784810127,68500
2011-01-01,서초구,서초동,1995.888888889,74500
