금액차이,전세비율,ID,Number of Records,거래금액(만원),건축년도 (아파트 전월세 실거래가),계약년월 (아파트 전월세 실거래가),계약년월,계약일 (아파트 전월세 실거래가),계약일,구,단지명,도로명,동,보증금(만원),시군구 - Split 1,시군구,월세(만원),전세비율 1,전용면적(㎡),전월세구분,층
99000,0.344370861,1,1,151000,1983-01-01,2018-04-01,2018-04-01,11~20,1~10,강남구,개포주공 6단지,,개포동,52000,서울특별시,서울특별시 강남구 개포동,0,0.344370861,73,전세,1
101000,0.331125828,2,1,151000,1983-01-01,2018-04-01,2018-04-01,11~20,1~10,강남구,개포주공 6단지,,개포동,50000,서울특별시,서울특별시 강남구 개포동,0,0.331125828,73,전세,1
131000,0.132450331,3,1,151000,1983-01-01,2018-04-01,2018-04-01,21~30,1~10,강남구,개포주공 6단지,,개포동,20000,서울특별시,서울특별시 강남구 개포동,110,0.132450331,73,월세,1
59500,0.493617021,4,1,117500,1986-01-01,2018-04-01,2018-04-01,1~10,1~10,강남구,개포현대200동,,개포동,58000,서울특별시,서울특별시 강남구 개포동,0,0.493617021,82,전세,7
50500,0.339869281,5,1,76500,1992-01-01,2018-04-01,2018-04-01,1~10,1~10,강남구,성원대치2단지아파트,109,개포동,26000,서울특별시,서울특별시 강남구 개포동,0,0.339869281,33,전세,10
58000,0.340909091,6,1,88000,1992-01-01,2018-04-01,2018-04-01,1~10,11~20,강남구,성원대치2단지아파트,109,개포동,30000,서울특별시,서울특별시 강남구 개포동,0,0.340909091,40,전세,6
56000,0.363636364,7,1,88000,1992-01-01,2018-04-01,2018-04-01,1~10,11~20,강남구,성원대치2단지아파트,109,개포동,32000,서울특별시,서울특별시 강남구 개포동,0,0.363636364,40,전세,6
53500,0.300653595,8,1,76500,1992-01-01,2018-04-01,2018-04-01,1~10,1~10,강남구,성원대치2단지아파트,109,개포동,23000,서울특별시,서울특별시 강남구 개포동,0,0.300653595,33,전세,10
67000,0.238636364,9,1,88000,1992-01-01,2018-04-01,2018-04-01,1~10,11~20,강남구,성원대치2단지아파트,109,개포동,21000,서울특별시,서울특별시 강남구 개포동,35,0.238636364,40,월세,6
50000,0.346405229,10,1,76500,1992-01-01,2018-04-01,2018-04-01,1~10,1~10,강남구,성원대치2단지아파트,109,개포동,26500,서울특별시,서울특별시 강남구 개포동,0,0.346405229,33,전세,10
