구분,죄종,발생검거,건수
중부,살인,발생,2
중부,살인,검거,2
중부,강도,발생,3
중부,강도,검거,3
중부,강간,발생,141
중부,강간,검거,96
중부,절도,발생,1204
중부,절도,검거,485
중부,폭력,발생,1335
중부,폭력,검거,1164
종로,살인,발생,4
종로,살인,검거,0
종로,강도,발생,6
종로,강도,검거,3
종로,강간,발생,137
종로,강간,검거,113
종로,절도,발생,952
종로,절도,검거,389
종로,폭력,발생,1291
종로,폭력,검거,1135
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,5
남대문,강도,검거,4
남대문,강간,발생,57
남대문,강간,검거,52
남대문,절도,발생,946
남대문,절도,검거,429
남대문,폭력,발생,890
남대문,폭력,검거,832
서대문,살인,발생,6
서대문,살인,검거,7
서대문,강도,발생,5
서대문,강도,검거,4
서대문,강간,발생,175
서대문,강간,검거,147
서대문,절도,발생,1503
서대문,절도,검거,752
서대문,폭력,발생,1976
서대문,폭력,검거,1644
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,6
혜화,강도,검거,6
혜화,강간,발생,101
혜화,강간,검거,64
혜화,절도,발생,988
혜화,절도,검거,379
혜화,폭력,발생,972
혜화,폭력,검거,842
용산,살인,발생,4
용산,살인,검거,4
용산,강도,발생,9
용산,강도,검거,10
용산,강간,발생,251
용산,강간,검거,214
용산,절도,발생,1489
용산,절도,검거,599
용산,폭력,발생,2384
용산,폭력,검거,2008
성북,살인,발생,2
성북,살인,검거,2
성북,강도,발생,3
성북,강도,검거,3
성북,강간,발생,103
성북,강간,검거,75
성북,절도,발생,790
성북,절도,검거,381
성북,폭력,발생,1176
성북,폭력,검거,1004
동대문,살인,발생,5
동대문,살인,검거,5
동대문,강도,발생,10
동대문,강도,검거,12
동대문,강간,발생,190
동대문,강간,검거,158
동대문,절도,발생,1940
동대문,절도,검거,1071
동대문,폭력,발생,2642
동대문,폭력,검거,2377
마포,살인,발생,4
마포,살인,검거,4
마포,강도,발생,4
마포,강도,검거,7
마포,강간,발생,399
마포,강간,검거,320
마포,절도,발생,2527
마포,절도,검거,940
마포,폭력,발생,2939
마포,폭력,검거,2500
영등포,살인,발생,13
영등포,살인,검거,13
영등포,강도,발생,19
영등포,강도,검거,14
영등포,강간,발생,356
영등포,강간,검거,225
영등포,절도,발생,2341
영등포,절도,검거,940
영등포,폭력,발생,3593
영등포,폭력,검거,3007
성동,살인,발생,4
성동,살인,검거,5
성동,강도,발생,3
성동,강도,검거,5
성동,강간,발생,104
성동,강간,검거,78
성동,절도,발생,1296
성동,절도,검거,896
성동,폭력,발생,1619
성동,폭력,검거,1408
동작,살인,발생,8
동작,살인,검거,6
동작,강도,발생,7
동작,강도,검거,7
동작,강간,발생,325
동작,강간,검거,149
동작,절도,발생,1226
동작,절도,검거,554
동작,폭력,발생,1661
동작,폭력,검거,1444
광진,살인,발생,4
광진,살인,검거,4
광진,강도,발생,11
광진,강도,검거,6
광진,강간,발생,279
광진,강간,검거,234
광진,절도,발생,2636
광진,절도,검거,1057
광진,폭력,발생,2392
광진,폭력,검거,2011
서부,살인,발생,4
서부,살인,검거,4
서부,강도,발생,4
서부,강도,검거,2
서부,강간,발생,54
서부,강간,검거,49
서부,절도,발생,781
서부,절도,검거,389
서부,폭력,발생,1128
서부,폭력,검거,980
강북,살인,발생,7
강북,살인,검거,6
강북,강도,발생,5
강북,강도,검거,4
강북,강간,발생,217
강북,강간,검거,159
강북,절도,발생,1222
강북,절도,검거,672
강북,폭력,발생,2778
강북,폭력,검거,2482
금천,살인,발생,6
금천,살인,검거,6
금천,강도,발생,7
금천,강도,검거,7
금천,강간,발생,175
금천,강간,검거,143
금천,절도,발생,1264
금천,절도,검거,654
금천,폭력,발생,2193
금천,폭력,검거,1946
중랑,살인,발생,8
중랑,살인,검거,7
중랑,강도,발생,14
중랑,강도,검거,14
중랑,강간,발생,164
중랑,강간,검거,150
중랑,절도,발생,1691
중랑,절도,검거,1052
중랑,폭력,발생,3164
중랑,폭력,검거,2712
강남,살인,발생,3
강남,살인,검거,3
강남,강도,발생,24
강남,강도,검거,26
강남,강간,발생,339
강남,강간,검거,269
강남,절도,발생,2438
강남,절도,검거,1129
강남,폭력,발생,2336
강남,폭력,검거,2096
관악,살인,발생,6
관악,살인,검거,7
관악,강도,발생,12
관악,강도,검거,10
관악,강간,발생,322
관악,강간,검거,264
관악,절도,발생,2103
관악,절도,검거,937
관악,폭력,발생,3235
관악,폭력,검거,2707
강서,살인,발생,9
강서,살인,검거,10
강서,강도,발생,10
강서,강도,검거,10
강서,강간,발생,275
강서,강간,검거,239
강서,절도,발생,1952
강서,절도,검거,1070
강서,폭력,발생,3204
강서,폭력,검거,2768
강동,살인,발생,4
강동,살인,검거,5
강동,강도,발생,14
강동,강도,검거,13
강동,강간,발생,160
강동,강간,검거,152
강동,절도,발생,1754
강동,절도,검거,902
강동,폭력,발생,2530
강동,폭력,검거,2201
종암,살인,발생,2
종암,살인,검거,1
종암,강도,발생,5
종암,강도,검거,5
종암,강간,발생,51
종암,강간,검거,42
종암,절도,발생,680
종암,절도,검거,344
종암,폭력,발생,932
종암,폭력,검거,815
구로,살인,발생,9
구로,살인,검거,9
구로,강도,발생,10
구로,강도,검거,13
구로,강간,발생,273
구로,강간,검거,181
구로,절도,발생,1910
구로,절도,검거,861
구로,폭력,발생,3164
구로,폭력,검거,2680
서초,살인,발생,4
서초,살인,검거,4
서초,강도,발생,9
서초,강도,검거,5
서초,강간,발생,350
서초,강간,검거,220
서초,절도,발생,1733
서초,절도,검거,814
서초,폭력,발생,1838
서초,폭력,검거,1583
양천,살인,발생,5
양천,살인,검거,5
양천,강도,발생,7
양천,강도,검거,7
양천,강간,발생,131
양천,강간,검거,108
양천,절도,발생,1719
양천,절도,검거,755
양천,폭력,발생,2250
양천,폭력,검거,1918
송파,살인,발생,9
송파,살인,검거,8
송파,강도,발생,15
송파,강도,검거,12
송파,강간,발생,234
송파,강간,검거,184
송파,절도,발생,2543
송파,절도,검거,1048
송파,폭력,발생,3289
송파,폭력,검거,2808
노원,살인,발생,5
노원,살인,검거,6
노원,강도,발생,6
노원,강도,검거,9
노원,강간,발생,159
노원,강간,검거,142
노원,절도,발생,1857
노원,절도,검거,740
노원,폭력,발생,2516
노원,폭력,검거,2124
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,4
방배,강도,검거,5
방배,강간,발생,78
방배,강간,검거,51
방배,절도,발생,472
방배,절도,검거,293
방배,폭력,발생,500
방배,폭력,검거,446
은평,살인,발생,2
은평,살인,검거,2
은평,강도,발생,5
은평,강도,검거,5
은평,강간,발생,102
은평,강간,검거,93
은평,절도,발생,885
은평,절도,검거,501
은평,폭력,발생,1536
은평,폭력,검거,1328
도봉,살인,발생,3
도봉,살인,검거,3
도봉,강도,발생,5
도봉,강도,검거,5
도봉,강간,발생,123
도봉,강간,검거,121
도봉,절도,발생,866
도봉,절도,검거,492
도봉,폭력,발생,1441
도봉,폭력,검거,1309
수서,살인,발생,2
수서,살인,검거,2
수서,강도,발생,15
수서,강도,검거,16
수서,강간,발생,177
수서,강간,검거,144
수서,절도,발생,1149
수서,절도,검거,789
수서,폭력,발생,1666
수서,폭력,검거,1431
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
