행정구역별(시군구),일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
전국,19367696,5397615,5067166,4151701,3551410,924373,211475,63956
서울특별시,3784705,1138860,931262,816946,686469,163555,37153,10460
부산광역시,1344170,372412,370623,296627,233160,55496,12460,3392
대구광역시,935753,247444,242931,209737,181468,42748,9114,2311
인천광역시,1062828,254076,270903,249208,218672,54482,12030,3457
광주광역시,569372,165169,140558,116354,107633,31563,6386,1709
대전광역시,590698,179605,142629,122640,108888,28963,6207,1766
울산광역시,426027,104856,106425,101425,89320,19410,3628,963
세종특별자치시,90413,27683,20180,18079,17783,5120,1202,366
경기도,4484424,1067916,1091119,1033608,973096,246575,55612,16498
강원도,616346,197917,180639,117408,86362,25441,6477,2102
충청북도,617914,187377,170184,121917,99555,29534,7075,2272
충청남도,813730,247056,229782,156005,128810,38855,9648,3574
전라북도,724678,222201,209595,137015,108374,35482,8983,3028
전라남도,727197,227225,229014,132231,94986,32192,8370,3179
경상북도,1076581,336547,322930,208721,154056,41024,9962,3341
경상남도,1273523,358430,347870,268117,224170,58381,12773,3782
제주특별자치도,229337,62841,60522,45663,38608,15552,4395,1756
