LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011122,0.043525552,5.596,경기도,평택시,54090,1782,,1014442,0.002703747,0.157,서울특별시,구로구,159357,,고양시,2197
1011123,0.002776316,0.357,경기도,평택시,54090,1782,,1014443,0.003209401,0.157,서울특별시,구로구,159357,,과천시,113
1011124,0.012351472,0.63,경기도,평택시,54090,1782,,1014444,0.003118455,0.081,서울특별시,구로구,159357,,광명시,443
1011125,0.005596921,0.498,경기도,평택시,54090,1782,,1014445,0.002953872,0.094,서울특별시,구로구,159357,,광주시,1148
1011126,0.006328914,0.354,경기도,평택시,54090,1782,,1014446,0.001809369,0.094,서울특별시,구로구,159357,,구리시,310
1011127,0.134423229,11.962,경기도,평택시,54090,1782,,1014447,0.002110178,0.054,서울특별시,구로구,159357,,군포시,421
1011128,0.008811267,0.487,경기도,평택시,54090,1782,,1014448,0.001175557,0.036,서울특별시,구로구,159357,,김포시,1086
1011129,0.021492628,1.086,경기도,평택시,54090,1782,,1014449,0.001404165,0.036,서울특별시,구로구,159357,,남양주시,1662
1011130,0.022761765,1.086,경기도,평택시,54090,1782,,1014450,0.005187662,0.196,서울특별시,구로구,159357,,동두천시,351
1011131,0.032142945,1.805,경기도,평택시,54090,1782,,1014451,0.005935075,0.196,서울특별시,구로구,159357,,부천시,1162
1011132,0.048403915,1.805,경기도,평택시,54090,1782,,1014452,0.005353056,0.128,서울특별시,구로구,159357,,성남시,1387
1011133,0.020138687,0.805,경기도,평택시,54090,1782,,1014453,0.008012103,0.128,서울특별시,구로구,159357,,수원시,1516
1011135,0.022044158,0.495,경기도,평택시,54090,1782,,1014454,0.002108095,0.064,서울특별시,구로구,159357,,시흥시,960
1011158,0.004850428,0.3,경기도,평택시,54090,1782,,1014455,0.001869971,0.089,서울특별시,구로구,159357,,안산시,1153
1011159,0.012685523,0.77,경기도,평택시,54090,1782,,1014456,0.004805044,0.089,서울특별시,구로구,159357,,안성시,1234
1011160,0.001317976,0.08,경기도,평택시,54090,1782,,1014457,0.001716055,0.062,서울특별시,구로구,159357,,안양시,720
1011161,0.003896126,0.08,경기도,평택시,54090,1782,,1014458,0.004561764,0.138,서울특별시,구로구,159357,,양주시,1518
1011162,0.018436932,0.414,경기도,평택시,54090,1782,,1014459,0.00381534,0.138,서울특별시,구로구,159357,,양평군,1088
1011163,0.021999625,0.494,경기도,평택시,54090,1782,,1014460,0.001962489,0.071,서울특별시,구로구,159357,,여주시,1258
1011165,0.006923949,0.364,경기도,평택시,54090,1782,,1014461,0.001315561,0.072,서울특별시,구로구,159357,,연천군,619
1011166,0.084761493,5.269,경기도,화성시,106864,2632,,1014462,0.001319009,0.072,서울특별시,구로구,159357,,오산시,384
1011167,0.082029959,3.919,경기도,평택시,54090,1782,,1014463,0.001761596,0.079,서울특별시,구로구,159357,,용인시,2607
1011168,0.082029959,3.919,경기도,평택시,54090,1782,,1014464,0.0042416,0.079,서울특별시,구로구,159357,,의왕시,389
