LinkID,유출인구,정류장수
1011122,54090,1782
1011123,54090,1782
1011124,54090,1782
1011125,54090,1782
1011126,54090,1782
1011127,54090,1782
1011128,54090,1782
1011129,54090,1782
1011130,54090,1782
1011131,54090,1782
1011132,54090,1782
1011133,54090,1782
1011135,54090,1782
1011158,54090,1782
1011159,54090,1782
1011160,54090,1782
1011161,54090,1782
1011162,54090,1782
1011163,54090,1782
1011165,54090,1782
1011166,106864,2632
1011167,54090,1782
1011168,54090,1782
1011441,54090,1782
1011442,54090,1782
1011443,54090,1782
1011444,54090,1782
1011445,54090,1782
1011446,54090,1782
1011447,54090,1782
1011448,54090,1782
1011449,54090,1782
1011450,54090,1782
1011451,54090,1782
1011452,54090,1782
1011453,54090,1782
1011501,54090,1782
1011502,54090,1782
1011503,54090,1782
1011511,54090,1782
1011512,54090,1782
1011513,54090,1782
1011529,54090,1782
1011530,54090,1782
1011531,54090,1782
1011532,54090,1782
1011533,54090,1782
1011534,54090,1782
1011535,54090,1782
1011536,54090,1782
1011537,54090,1782
1011538,54090,1782
1011539,54090,1782
1011540,54090,1782
1011541,54090,1782
1011542,54090,1782
1011543,54090,1782
1011544,54090,1782
1011545,54090,1782
1011546,54090,1782
1011547,54090,1782
1011548,54090,1782
1011549,54090,1782
1011750,76946,1086
1011751,76946,1086
1011752,76946,1086
1011753,76946,1086
1011754,76946,1086
1011755,106864,2632
1011756,106864,2632
1011757,106864,2632
1011758,106864,2632
1011759,106864,2632
1011760,106864,2632
1011761,106864,2632
1011762,106864,2632
1011763,106864,2632
1011764,106864,2632
1011765,106864,2632
1011766,106864,2632
1011767,106864,2632
1011768,106864,2632
1011769,106864,2632
1011770,106864,2632
1011771,106864,2632
1011772,106864,2632
1011773,106864,2632
1011774,106864,2632
1011775,106864,2632
1011776,106864,2632
1011777,106864,2632
1011778,106864,2632
1011779,106864,2632
1011780,106864,2632
1011781,106864,2632
1011782,106864,2632
1011783,106864,2632
1011784,106864,2632
1011785,106864,2632
1011786,106864,2632
1011787,106864,2632
1011788,106864,2632
1011789,106864,2632
1011790,106864,2632
1011791,106864,2632
1011792,106864,2632
1011793,106864,2632
1011794,89081,960
1011795,89081,960
1011797,89081,960
1011798,89081,960
1011799,89081,960
1011800,89081,960
1011801,89081,960
1011802,89081,960
1011803,89081,960
1011804,89081,960
1011805,89081,960
1011806,89081,960
1011807,89081,960
