TPath,TPCnt,TLinkCnt,TPCnt_group,start,end,LinkID_x,시도명_x,시군구명_x,읍면동명_x,LinkID_y,시도명_y,시군구명_y,읍면동명_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,총시간,총거리,평균시간,등급,LinkID,유출인구,정류장수,버스,승용차,전체
1.0876E+139,12,20,10_50,1087642,1017841,1087642,경기도,안양시동안구,호계2동,1017841,서울특별시,금천구,시흥1동,1087642,1017172,1017491,1017480,1017488,1096263,1017158,1017157,1017153,1100687,1100691,1017389,1017884,1017875,1017872,1017878,1017886,1096267,1091056,1017841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28384723,8.511,29.98443916,1,1087642,97639.64995,346,828.5,46113.5,57063.5
"1095012,1041709,1042034,1042035,1100489,1040038,1095829,1039916,0,1039850,0,1069474,1069480",10,13,0_10,1095012,1069480,1095012,경기도,남양주시,진접읍,1069480,서울특별시,노원구,공릉2동,1095012,1041709,1042034,1042035,1100489,1040038,1095829,1039916,0,1039850,0,1069474,1069480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441181637,13.228,29.98311555,1,1095012,166431,1662,118,7605.5,9216.5
1.0971E+118,15,17,10_50,1097126,1014981,1097126,경기도,부천시원미구,역곡1동,1014981,서울특별시,강서구,화곡8동,1097126,1089026,1015302,1096047,1015330,1015333,1015381,1015064,1096041,1015063,1015187,1014985,1014984,1015292,1015204,1015131,1014981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272871908,8.18,29.97743542,1,1097126,226983,1162,161.5,18862,22587
"1089193,1096568,1090963,0,1096574,1039931,1039935,1090961",19,8,10_50,1089193,1090961,1089193,경기도,구리시,동구동,1090961,서울특별시,중랑구,망우본동,1089193,1096568,1090963,0,1096574,1039931,1039935,1090961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191090354,5.728,29.97534873,1,1089193,58448,310,92,5957.5,7282.5
1.089E+125,11,18,10_50,1089002,1096269,1089002,경기도,부천시소사구,괴안동,1096269,서울특별시,금천구,시흥3동,1089002,1089020,1089025,1089006,1089009,1087749,1096306,1087775,1096311,1087780,1014779,1014783,1018116,1096317,1096319,1017840,1091057,1096269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4769601,14.297,29.9752537,1,1089002,226983,1162,141.5,11091,13077
"1087657,0,1017485,1087573,1017480,1017488,1096263,1017158,1017157,1017153,1017391,1017576,1017504,1017162,1100689,1100691,1017389,1017884,1017875,1017872,1017878,1017886,1096267,1096269,0,1096317,1087747,1018032,1018033,1018036,1018035,1067474,1018008,1018049",26,34,10_50,1087657,1018049,1087657,경기도,안양시동안구,비산3동,1018049,서울특별시,금천구,가산동,1087657,0,1017485,1087573,1017480,1017488,1096263,1017158,1017157,1017153,1017391,1017576,1017504,1017162,1100689,1100691,1017389,1017884,1017875,1017872,1017878,1017886,1096267,1096269,0,1096317,1087747,1018032,1018033,1018036,1018035,1067474,1018008,1018049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47648603,14.28,29.9693991,1,1087657,97639.64995,346,892.5,55863,68478.5
"1096270,0,1096317,1087747,1018032,1018033,1018036,1018035,1067474,1018008,1018048,1018086,1017957,1017820,1070727,1070682,1017981,1070743,1070744,0,1098360,1018230,1017681,1017754",11,24,10_50,1096270,1017754,1096270,경기도,광명시,소하2동,1017754,서울특별시,동작구,신대방2동,1096270,0,1096317,1087747,1018032,1018033,1018036,1018035,1067474,1018008,1018048,1018086,1017957,1017820,1070727,1070682,1017981,1070743,1070744,0,1098360,1018230,1017681,1017754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33101548,9.919,29.96536597,1,1096270,109992,443,276,23997,28864
1.0899E+202,18,29,10_50,1089878,1096042,1089878,경기도,고양시덕양구,화전동,1096042,서울특별시,양천구,신월4동,1089878,1019909,1019758,1019684,1019681,1019491,1015229,1015224,1015217,1015219,1014871,1096059,1096751,1014893,1014883,1014885,1014897,1070145,1014909,1097191,1097869,1014926,1070135,1091077,1014961,1014964,1014970,1014966,1096042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426772941,12.787,29.96206828,1,1089878,106270.0408,1032,640,46202.5,55690
1.09443E+69,10,10,0_10,1094433,1019876,1094433,경기도,고양시덕양구,원신동,1019876,서울특별시,은평구,갈현1동,1094433,1019927,1019850,1019848,1019845,1019878,1069509,1069517,1069529,1019876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226311729,6.78,29.95867704,1,1094433,106270.0408,1032,197,7839.5,10007
1.0944E+223,29,32,10_50,1094373,1096603,1094373,경기도,고양시덕양구,화정2동,1096603,서울특별시,마포구,용강동,1094373,1015556,1015618,1015605,1015602,1015599,1015600,1089966,1015666,1094408,1089878,1019909,1019758,1019684,1019681,1019493,1019523,1069576,1019077,1096615,1018265,1018474,1069591,1069607,1096611,1018490,1018539,1019601,1096609,1019406,1070015,1096603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563779058,16.888,29.95499702,1,1094373,106270.0408,1032,420.5,29361,35331.5
