"행정구역별(시도)","가구주의 연령별",2020,2021,2022,2023,2024
"행정구역별(시도)","가구주의 연령별",부부,부부,부부,부부,부부
"전국","40~44세",95542,98736,102163,103968,103693
"전국","45~49세",141429,136385,131900,127693,124299
"전국","50~54세",256637,261827,265685,268161,264119
"전국","55~59세",430871,418885,418064,412797,429540
"전국","60~64세",631003,672755,689046,706935,698716
"서울특별시","40~44세",20532,21170,21812,22132,22059
"서울특별시","45~49세",23533,22663,21913,21231,20730
"서울특별시","50~54세",35016,36279,37423,38097,37848
"서울특별시","55~59세",53324,51829,51611,50959,52945
"서울특별시","60~64세",88571,92545,93449,94689,93025
"부산광역시","40~44세",5341,5567,5761,5828,5768
"부산광역시","45~49세",7624,7353,7132,6944,6811
"부산광역시","50~54세",14964,15243,15466,15620,15457
"부산광역시","55~59세",29350,28136,27804,27267,28298
"부산광역시","60~64세",49923,52164,52436,52962,51594
"대구광역시","40~44세",3290,3365,3434,3477,3445
"대구광역시","45~49세",5719,5506,5328,5131,4982
"대구광역시","50~54세",12588,12862,13022,13069,12882
"대구광역시","55~59세",22778,22270,22265,22171,23014
"대구광역시","60~64세",33342,35493,36557,37815,37478
"인천광역시","40~44세",6320,6614,6920,7084,7118
"인천광역시","45~49세",8334,8146,7974,7829,7726
"인천광역시","50~54세",13608,13974,14308,14602,14532
"인천광역시","55~59세",23088,22572,22544,22267,23141
"인천광역시","60~64세",33186,35929,37295,38568,38406
"광주광역시","40~44세",2199,2258,2319,2359,2347
"광주광역시","45~49세",3760,3624,3563,3457,3378
"광주광역시","50~54세",7758,7962,8150,8310,8250
"광주광역시","55~59세",12424,12460,12715,12724,13388
"광주광역시","60~64세",16112,17330,17741,18381,18263
"대전광역시","40~44세",2297,2353,2433,2473,2466
"대전광역시","45~49세",3883,3759,3630,3519,3417
"대전광역시","50~54세",7825,8121,8298,8422,8306
"대전광역시","55~59세",13588,13064,13103,13112,13974
"대전광역시","60~64세",19078,20541,21064,21581,21249
"울산광역시","40~44세",2069,2147,2233,2262,2243
"울산광역시","45~49세",3614,3484,3364,3283,3243
"울산광역시","50~54세",8072,8013,8018,7974,7748
"울산광역시","55~59세",13254,13161,13199,13087,13599
"울산광역시","60~64세",17783,19309,20128,20994,20918
"세종특별자치시","40~44세",1005,1084,1168,1227,1256
"세종특별자치시","45~49세",1562,1629,1682,1732,1773
"세종특별자치시","50~54세",2448,2765,3064,3339,3557
"세종특별자치시","55~59세",3041,3126,3300,3486,3868
"세종특별자치시","60~64세",3621,4030,4334,4627,4767
"경기도","40~44세",29024,30237,31513,32315,32469
"경기도","45~49세",36922,36014,35164,34408,33798
"경기도","50~54세",58675,60711,62433,63756,63409
"경기도","55~59세",93329,91969,92869,92478,97008
"경기도","60~64세",134475,146042,152069,158026,158244
"강원도","40~44세",2143,2158,2192,2191,2154
"강원도","45~49세",4435,4170,3921,3683,3454
"강원도","50~54세",9560,9512,9401,9261,8990
"강원도","55~59세",17177,16393,16093,15644,16019
"강원도","60~64세",26230,27533,27837,28119,27439
"충청북도","40~44세",2434,2487,2579,2636,2636
"충청북도","45~49세",4399,4217,4058,3885,3720
"충청북도","50~54세",8861,8859,8740,8668,8374
"충청북도","55~59세",16857,16088,15981,15736,16514
"충청북도","60~64세",24123,25959,26462,26930,26365
"충청남도","40~44세",3609,3710,3842,3903,3869
"충청남도","45~49세",6354,6074,5808,5579,5379
"충청남도","50~54세",11022,11263,11226,11167,10823
"충청남도","55~59세",20946,19692,19436,19025,19722
"충청남도","60~64세",29001,30875,31669,32350,31756
"전라북도","40~44세",2557,2559,2587,2573,2531
"전라북도","45~49세",5101,4852,4620,4398,4162
"전라북도","50~54세",10270,10308,10289,10288,10021
"전라북도","55~59세",17800,17074,16960,16490,17022
"전라북도","60~64세",26142,27673,28009,28451,27917
"전라남도","40~44세",2419,2434,2461,2472,2417
"전라남도","45~49세",5871,5536,5269,4995,4764
"전라남도","50~54세",12916,12783,12706,12578,12129
"전라남도","55~59세",20348,19803,19698,19252,19680
"전라남도","60~64세",27234,28870,29218,29694,29170
"경상북도","40~44세",3633,3689,3768,3773,3702
"경상북도","45~49세",8333,7915,7524,7144,6818
"경상북도","50~54세",18807,18705,18549,18359,17749
"경상북도","55~59세",32347,31081,30544,29816,30462
"경상북도","60~64세",44777,47148,47787,48783,47934
"경상남도","40~44세",5418,5594,5773,5853,5786
"경상남도","45~49세",10089,9622,9184,8775,8493
"경상남도","50~54세",20725,20847,20854,20839,20270
"경상남도","55~59세",35610,34415,34143,33453,34758
"경상남도","60~64세",49857,53272,54518,56008,55041
"제주특별자치도","40~44세",1252,1310,1368,1410,1427
"제주특별자치도","45~49세",1896,1821,1766,1700,1651
"제주특별자치도","50~54세",3522,3620,3738,3812,3774
"제주특별자치도","55~59세",5610,5752,5799,5830,6128
"제주특별자치도","60~64세",7548,8042,8473,8957,9150
