,시도,시군구,계약년도,이동건,병원,스트레스,학원수,교통문화,문화시설,재정자립도,지가변동률,토지거래현황,재정자주도,지역범죄안전등급,고령인구비율,종사자수,유치원수,사회복지,실거래가
3,경기도,가평군,2018,206,12.8,20.5,0.95,73.32,15.88,25.7,2.92,9737,70.3,5,23.53,412.75,15,41.63,2118168.119
6,경기도,고양시,2018,-409,12.4,30.3,1.92,72.51,3.36,48.9,5.22,53616,64.4,2,12.12,306.56,175,18.18,4284191.407
9,경기도,과천시,2018,65,0.02,28,1.31,72.34,20.86,48.3,5.58,6423,85.2,2,13.35,605.7,7,4.7,11130628.97
11,경기도,광명시,2017,-2889,6.27,34.8,1.67,86.98,3,47.2,3.56,17911,70.5,3,11.52,276.48,51,5.89,5171070.193
14,경기도,광주시,2018,7547,5.5,28.8,1.11,71.15,4.34,48.5,4.35,32323,66.7,3,11.78,385.87,41,14.95,3228430.397
17,경기도,구리시,2018,919,13.6,25.5,1.78,72.81,3,38.9,5.73,10555,67.3,4,11.69,322.73,32,10.84,5024451.822
19,경기도,군포시,2018,-1792,8.93,29.2,1.6,79.7,2.84,45.3,3.2,12532,68.2,3,11.45,366.76,49,16.15,4451620.307
22,경기도,남양주시,2018,4189,9.69,29.5,1.35,77.41,4.06,34.2,3.76,46582,60.6,2,12.71,238.13,110,20.24,3382936.22
25,경기도,부천시,2018,-4724,14.52,27.9,1.49,87.46,3.06,40.4,3.58,36423,62.5,5,11.58,343.19,126,17.62,3997535.658
27,경기도,성남시,2017,-3295,10.12,32.5,1.98,84.73,2.27,63.6,3.39,46272,76.8,4,11.94,463.88,131,8.72,5565424.925
30,경기도,수원시,2018,1170,9.71,30.5,1.74,77,3.08,55.7,3.49,60063,65.9,5,9.76,352.27,195,8.79,4053926.337
32,경기도,시흥시,2017,6144,9.3,31.6,1.51,87.45,3.34,55.2,3.35,37522,71.5,4,8.22,466.22,67,21.59,3041172.023
34,경기도,안산시,2018,-8414,14.67,32.1,1.52,79.44,3.98,57.8,2.67,28822,71.3,5,9.49,471.05,98,21.45,3119079.87
37,경기도,안양시,2018,-5548,8.05,29.1,1.86,77.4,2.72,49.2,4.24,31949,70.4,4,11.73,427.13,82,8.7,5209345.497
40,경기도,양주시,2018,2369,12.86,25.7,1.13,71.81,6.13,35.3,3.12,17667,67.5,2,14.34,398.52,49,31.14,2401340.418
