"","시도","시군구","계약년도","이혼율","이동건","병원","스트레스","학원수","교통문화","문화시설","체육시설","재정자립도","지가변동률","토지거래현황","재정자주도","지역범죄안전등급","유아 천명당 보육시설수","혼인율","고령인구비율"
"1","경기도","가평군","2016","2.3",395,16.83,28.1,"0.99","81.66",16.01,92,26.2,"1.41","9805",70.8,5,15.97,"4.4","21.73"
"2","경기도","가평군","2017","2.4",521,12.8,20.5,"1.02","81.14",15.88,92,25.3,"2.30","10339",67.4,5,16.59,"4.3","22.66"
"3","경기도","가평군","2018","2.8",206,12.8,20.5,"0.95","73.32",15.88,92,25.7,"2.92","9737",70.3,5,17.18,"3.9","23.53"
"4","경기도","고양시","2016","2",4716,12.5,29.1,"1.86","83.35",3.37,1438,50.2,"2.25","53309",65.9,2,17.3,"4.8","10.97"
"5","경기도","고양시","2017","1.9",-344,12.4,30.3,"1.92","82.85",3.36,1438,53.8,"3.62","54953",65.7,2,17.03,"4.6","11.55"
"6","경기도","고양시","2018","2",-409,12.4,30.3,"1.92","72.51",3.36,1438,48.9,"5.22","53616",64.4,2,17.49,"4.2","12.12"
"7","경기도","과천시","2016","1.3",-2261,0.28,27.9,"1.18","85.55",18.82,76,48.2,"1.91","3488",87.1,1,18.27,"4.1","12.13"
"8","경기도","과천시","2017","1.2",-3203,0.02,28,"1.3","82.95",20.86,76,58.1,"3.28","2125",87,2,19.76,"3.5","12.99"
"9","경기도","과천시","2018","1.3",65,0.02,28,"1.31","72.34",20.86,76,48.3,"5.58","6423",85.2,2,19.94,"4.1","13.35"
"10","경기도","광명시","2016","1.9",-2834,6.33,30.9,"1.59","85.61",2.95,401,46.9,"2.26","13226",69.1,2,18.07,"5.6","10.77"
"11","경기도","광명시","2017","1.9",-2889,6.27,34.8,"1.67","86.98",3,401,47.2,"3.56","17911",70.5,3,19.05,"5.2","11.52"
"12","경기도","광주시","2016","2.5",5887,4.87,36,"1.14","80.8",4.58,497,51.6,"2.18","28360",67.7,2,15.79,"6.8","10.74"
"13","경기도","광주시","2017","2.6",7314,5.5,28.8,"1.13","77.11",4.34,497,53.4,"3.38","31215",68.7,2,15.45,"6.5","11.33"
"14","경기도","광주시","2018","2.7",7547,5.5,28.8,"1.11","71.15",4.34,497,48.5,"4.35","32323",66.7,3,15.75,"6.3","11.78"
"15","경기도","구리시","2016","2",2164,12.21,30.5,"1.71","81.84",3.1,206,40,"2.36","8779",68.9,5,16.85,"4.6","10.64"
"16","경기도","구리시","2017","1.7",1941,13.6,25.5,"1.71","86.19",3,206,38.7,"3.26","10003",69.2,5,16.53,"4.9","11.18"
"17","경기도","구리시","2018","1.9",919,13.6,25.5,"1.78","72.81",3,206,38.9,"5.73","10555",67.3,4,16.69,"4.6","11.69"
"18","경기도","군포시","2017","1.8",-1785,8.93,29.2,"1.58","89",2.84,286,47,"3.35","9673",71,2,17.98,"5.8","10.77"
"19","경기도","군포시","2018","1.8",-1792,8.93,29.2,"1.6","79.7",2.84,286,45.3,"3.20","12532",68.2,3,20.18,"5.2","11.45"
"20","경기도","남양주시","2016","2.3",1723,9.08,27.6,"1.31","84.8",3.93,963,40.3,"3.18","31452",62.1,1,17.01,"4.7","11.48"
"21","경기도","남양주시","2017","2.2",129,9.69,29.5,"1.35","84.18",4.06,963,39.8,"3.96","41365",62.9,1,17.56,"4.1","12.28"
"22","경기도","남양주시","2018","2.3",4189,9.69,29.5,"1.35","77.41",4.06,963,34.2,"3.76","46582",60.6,2,18.12,"4.1","12.71"
"23","경기도","부천시","2016","2.1",-1332,14.31,31.5,"1.48","88.11",2.7,1110,47.5,"1.30","37347",66.2,5,14.41,"5.7","10.13"
"24","경기도","부천시","2017","2.1",-2425,14.52,27.9,"1.48","88.2",3.06,1110,42.4,"3.39","37270",64.1,5,14.73,"5.3","10.88"
"25","경기도","부천시","2018","2.1",-4724,14.52,27.9,"1.49","87.46",3.06,1110,40.4,"3.58","36423",62.5,5,15.95,"5.3","11.58"
"26","경기도","성남시","2016","1.9",812,9.67,31.2,"1.84","86.94",2.26,1347,61.9,"2.50","40325",76.8,3,14.7,"6.3","11.26"
"27","경기도","성남시","2017","1.9",-3295,10.12,32.5,"1.98","84.73",2.27,1347,63.6,"3.39","46272",76.8,4,14.85,"5.4","11.94"
"28","경기도","수원시","2016","1.9",4930,8.8,28.4,"1.72","87.54",2.93,1910,60.9,"1.84","45879",72.9,4,16.92,"6.6","8.71"
"29","경기도","수원시","2017","2",5444,9.71,30.5,"1.71","89.73",3.08,1910,58.8,"3.07","55940",69.7,4,17.06,"6","9.29"
"30","경기도","수원시","2018","1.9",1170,9.71,30.5,"1.74","77",3.08,1910,55.7,"3.49","60063",65.9,5,18.17,"5.8","9.76"
"31","경기도","시흥시","2016","2.8",890,10.32,33.2,"1.47","80.43",3.47,744,55.6,"2.33","30406",72.5,4,18.15,"5.5","7.86"
"32","경기도","시흥시","2017","2.6",6144,9.3,31.6,"1.51","87.45",3.34,744,55.2,"3.35","37522",71.5,4,18.23,"5.7","8.22"
"33","경기도","안산시","2016","2.9",-5594,14.24,32.9,"1.47","88.6",3.77,1071,48.1,"2.31","28740",66.6,5,18.38,"5.7","8.28"
"34","경기도","안산시","2018","2.8",-8414,14.67,32.1,"1.52","79.44",3.98,1071,57.8,"2.67","28822",71.3,5,19.25,"5.4","9.49"
"35","경기도","안양시","2016","1.7",-1855,8.05,29.1,"1.86","82.56",2.51,933,54.4,"2.65","25646",72.1,3,17.33,"5.6","10.32"
"36","경기도","안양시","2017","1.7",-5465,8.05,29.1,"1.86","81.7",2.72,933,52.6,"3.32","24281",72.4,4,17.81,"5.4","11.00"
"37","경기도","안양시","2018","1.7",-5548,8.05,29.1,"1.86","77.4",2.72,933,49.2,"4.24","31949",70.4,4,18.38,"5.1","11.73"
"38","경기도","양주시","2016","2.6",-538,12.12,29.5,"1.1","84.96",6.33,389,38.9,"1.71","11517",70,3,22.83,"4.8","13.00"
"39","경기도","양주시","2017","2.6",3059,12.86,25.7,"1.09","80.93",6.13,389,38.1,"2.03","15871",71,2,22.17,"4.4","13.72"
"40","경기도","양주시","2018","2.8",2369,12.86,25.7,"1.13","71.81",6.13,389,35.3,"3.12","17667",67.5,2,22.8,"4.7","14.34"
"41","경기도","양평군","2017","2.1",2334,10.36,27.9,"0.7","84.21",16.51,183,25,"3.58","21817",68.5,4,13.47,"4.1","22.23"
"42","경기도","양평군","2018","2.1",370,10.36,27.9,"0.76","80.82",16.51,183,24.3,"3.41","19481",70.3,3,12.98,"3.6","23.17"
"43","경기도","여주시","2016","2.4",423,17.24,29.5,"1.02","83.86",18.82,212,36.8,"2.25","13509",69.8,2,14.41,"4.8","17.73"
"44","경기도","연천군","2016","2.5",186,7.04,27.1,"0.87","82.04",10.89,147,20.4,"1.11","4333",71,5,16.43,"5.1","22.14"
"45","경기도","연천군","2017","2.4",-211,7.11,19.7,"0.86","83.22",11.01,147,23.5,"1.50","4675",71,4,16.26,"5.5","22.94"
"46","경기도","연천군","2018","2",-309,7.11,19.7,"0.85","72.4",11.01,147,21,"6.14","8323",68.2,4,17.92,"6","23.77"
"47","경기도","용인시","2017","1.7",3632,8.11,29.7,"1.77","84.25",4.18,1279,63.4,"2.24","67824",75.4,1,16.57,"4.6","11.64"
"48","경기도","용인시","2018","1.7",12488,8.11,29.7,"1.81","71.63",4.18,1279,62.1,"3.53","86903",73,2,16.57,"4.5","12.08"
"49","경기도","의왕시","2016","1.6",-498,12.75,27.2,"1.18","82.87",5.1,140,46,"3.17","6455",71.6,1,17.06,"4.8","10.79"
