코드,시도명,시군구명,읍면동명,X,Y
11110515,서울특별시,종로구,청운효자동,126.9704175,37.58465806
11110530,서울특별시,종로구,사직동,126.9701437,37.57410805
11110540,서울특별시,종로구,삼청동,126.9811137,37.58801344
11110550,서울특별시,종로구,부암동,126.9625567,37.59669866
11110560,서울특별시,종로구,평창동,126.969274,37.61396501
11110570,서울특별시,종로구,무악동,126.9589891,37.57774075
11110580,서울특별시,종로구,교남동,126.964161,37.57105298
11110600,서울특별시,종로구,가회동,126.9866182,37.58267644
11110615,서울특별시,종로구,종로1.2.3.4가동,126.9897333,37.57507655
11110630,서울특별시,종로구,종로5.6가동,127.004241,37.573016
11110640,서울특별시,종로구,이화동,127.0030693,37.57969001
11110650,서울특별시,종로구,혜화동,126.9976891,37.58747148
11110670,서울특별시,종로구,창신제1동,127.0140191,37.57226265
11110680,서울특별시,종로구,창신제2동,127.0102517,37.57575481
11110690,서울특별시,종로구,창신제3동,127.0132088,37.57881917
11110700,서울특별시,종로구,숭인제1동,127.0168612,37.57722518
11110710,서울특별시,종로구,숭인제2동,127.0206376,37.57430675
11140520,서울특별시,중구,소공동,126.9743586,37.56429679
11140540,서울특별시,중구,회현동,126.9767086,37.55696816
11140550,서울특별시,중구,명동,126.9843554,37.56372809
11140570,서울특별시,중구,필동,126.9938483,37.55680279
11140580,서울특별시,중구,장충동,127.0022798,37.55560998
11140590,서울특별시,중구,광희동,127.0036254,37.56520434
11140605,서울특별시,중구,을지로동,126.9964914,37.56664043
11140615,서울특별시,중구,신당동,127.0137748,37.56574752
11140625,서울특별시,중구,다산동,127.0082631,37.55470266
11140635,서울특별시,중구,약수동,127.0102398,37.54983728
11140645,서울특별시,중구,청구동,127.0149896,37.55685546
11140650,서울특별시,중구,신당제5동,127.0220162,37.56358116
11140665,서울특별시,중구,동화동,127.018671,37.56059413
11140670,서울특별시,중구,황학동,127.020798,37.56841911
11140680,서울특별시,중구,중림동,126.9659614,37.55731796
11170510,서울특별시,용산구,후암동,126.9805887,37.54993772
11170520,서울특별시,용산구,용산2가동,126.9835321,37.54023873
11170530,서울특별시,용산구,남영동,126.9735057,37.54510712
11170555,서울특별시,용산구,청파동,126.9671666,37.54785722
11170560,서울특별시,용산구,원효로제1동,126.9665602,37.53747049
11170570,서울특별시,용산구,원효로제2동,126.9513933,37.53310438
11170580,서울특별시,용산구,효창동,126.9613089,37.54305122
11170590,서울특별시,용산구,용문동,126.9585843,37.5381469
11170625,서울특별시,용산구,한강로동,126.9678552,37.52918454
11170630,서울특별시,용산구,이촌제1동,126.9709594,37.5172771
11170640,서울특별시,용산구,이촌제2동,126.9539394,37.52333115
11170650,서울특별시,용산구,이태원제1동,126.9932493,37.53339456
11170660,서울특별시,용산구,이태원제2동,126.9921342,37.54166032
11170685,서울특별시,용산구,한남동,127.005801,37.53710166
11170690,서울특별시,용산구,서빙고동,126.9883765,37.52246962
11170700,서울특별시,용산구,보광동,127.0012626,37.52587096
11200520,서울특별시,성동구,왕십리제2동,127.0276904,37.56149776
11200535,서울특별시,성동구,왕십리도선동,127.0295695,37.56679117
11200540,서울특별시,성동구,마장동,127.0404901,37.56763673
11200550,서울특별시,성동구,사근동,127.0454347,37.558015
11200560,서울특별시,성동구,행당제1동,127.0360566,37.55901978
11200570,서울특별시,성동구,행당제2동,127.0295034,37.55667576
11200580,서울특별시,성동구,응봉동,127.0339822,37.5509888
11200590,서울특별시,성동구,금호1가동,127.0250557,37.55366878
11200615,서울특별시,성동구,금호2.3가동,127.0198922,37.55142836
11200620,서울특별시,성동구,금호4가동,127.0246,37.54459485
11200645,서울특별시,성동구,옥수동,127.0161757,37.54196706
11200650,서울특별시,성동구,성수1가제1동,127.0410443,37.54042032
11200660,서울특별시,성동구,성수1가제2동,127.0439521,37.54907374
11200670,서울특별시,성동구,성수2가제1동,127.0552814,37.5366552
11200690,서울특별시,성동구,성수2가제3동,127.0581429,37.54554228
11200720,서울특별시,성동구,송정동,127.065698,37.55233315
11200790,서울특별시,성동구,용답동,127.0578488,37.55854018
11215710,서울특별시,광진구,화양동,127.0734599,37.54326499
11215730,서울특별시,광진구,군자동,127.0736809,37.55306569
11215740,서울특별시,광진구,중곡제1동,127.0777222,37.5620373
11215750,서울특별시,광진구,중곡제2동,127.084587,37.55890871
11215760,서울특별시,광진구,중곡제3동,127.0819697,37.56785113
11215770,서울특별시,광진구,중곡제4동,127.0944481,37.56391182
11215780,서울특별시,광진구,능동,127.0816453,37.55065718
11215810,서울특별시,광진구,광장동,127.1048726,37.54828309
11215820,서울특별시,광진구,자양제1동,127.0804154,37.53554348
11215830,서울특별시,광진구,자양제2동,127.0832539,37.52933469
11215840,서울특별시,광진구,자양제3동,127.0711983,37.5316904
11215847,서울특별시,광진구,자양제4동,127.0637659,37.53389181
11215850,서울특별시,광진구,구의제1동,127.0860324,37.5414904
11215860,서울특별시,광진구,구의제2동,127.0944503,37.55100224
11215870,서울특별시,광진구,구의제3동,127.0952359,37.53509206
11230536,서울특별시,동대문구,용신동,127.0322863,37.57561621
11230545,서울특별시,동대문구,제기동,127.0372424,37.58367676
11230560,서울특별시,동대문구,전농제1동,127.051048,37.57901159
11230570,서울특별시,동대문구,전농제2동,127.0611441,37.58072119
11230600,서울특별시,동대문구,답십리제1동,127.0516992,37.5709437
11230610,서울특별시,동대문구,답십리제2동,127.0611138,37.57089199
11230650,서울특별시,동대문구,장안제1동,127.0685899,37.56623145
11230660,서울특별시,동대문구,장안제2동,127.0725385,37.57576022
11230705,서울특별시,동대문구,청량리동,127.0451188,37.58894055
11230710,서울특별시,동대문구,회기동,127.051407,37.59370059
11230720,서울특별시,동대문구,휘경제1동,127.0624745,37.59187265
11230730,서울특별시,동대문구,휘경제2동,127.0664358,37.58650599
11230740,서울특별시,동대문구,이문제1동,127.0602927,37.59722176
11230750,서울특별시,동대문구,이문제2동,127.0674922,37.60283343
